origin,origin_state,origin_zip,destination_1,destination_1_state,destination_1_zip,destination_2,destination_2_state,destination_2_zip,total_piece,rate,carrier
Monroe Township,NJ,08831,Linden,NJ,07036,WEST SPRINGFIELD,MA,01089,68,$846.00,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,LOWELL,MA,01852,"1,497",$889.20,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,MEDFORD,MA,02155,15,$927.00,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,MEDFORD,MA,02155,34,$927.00,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,BOSTON,MA,02210,37,"$1,063.80",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,BOSTON,MA,02210,54,"$1,063.80",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,BOSTON,MA,02210,54,"$1,063.80",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,BOSTON,MA,02210,32,"$1,063.80",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,BOSTON,MA,02210,22,"$1,063.80",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,BOSTON,MA,02210,16,"$1,063.80",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,PAWTUCKET,RI,02860,105,$907.20,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,PAWTUCKET,RI,02860,179,$907.20,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,PLYMOUTH,NH,03264,147,"$1,248.30",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,RUTLAND,VT,05701,76,"$1,118.70",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,RUTLAND,VT,05701,51,"$1,118.70",Warp
Monroe Township,NJ,08831,Linden,NJ,07036,Rocky Hill,CT,06067,19,$783.00,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,AVENEL,NJ,07001,36,$113.40,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,BAYONNE,NJ,07002,37,$296.19,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07011,6,$125.10,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07011,15,$470.34,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07011,12,$218.97,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,Clifton,NJ,07013,35,$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,Clifton,NJ,07013,2,$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,260,$383.76,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,505,$383.76,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,390,$300.60,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,251,$799.83,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,48,$300.60,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,36,$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,32,$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,30,$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,30,$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,28,$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,250,$383.76,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,243,$550.17,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,37,$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,"2,948",$383.76,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,"2,093",$300.60,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,"1,375",$217.35,Warp
Monroe Township,NJ,08831,Linden,NJ,07036,CLIFTON,NJ,07013,677,$300.60,Warp
