Big & Bulky,,,,,
Facility Center,Destination MSA,Daily Avg. Volume,Big & Bulky,Origin Zip,Destination Zip
"AVP (Nanticoke, PA)","Albany-Schenectady-Troy, NY",45,20,18503,12207
"AVP (Nanticoke, PA)","Allentown-Bethlehem-Easton, PA-NJ",43,19,18503,18101
"AVP (Nanticoke, PA)","Baltimore-Columbia-Towson, MD",139,61,18503,21201
"AVP (Nanticoke, PA)","Binghamton, NY",12,5,18503,13901
"AVP (Nanticoke, PA)","Boston-Cambridge-Newton, MA-NH",117,51,18503,02110
"AVP (Nanticoke, PA)","Bridgeport-Stamford-Norwalk, CT",115,51,18503,06604
"AVP (Nanticoke, PA)","Buffalo-Niagara Falls, NY",62,27,18503,14202
"AVP (Nanticoke, PA)","Charleston, WV",7,3,18503,25301
"AVP (Nanticoke, PA)","Hartford-East Hartford-Middletown, CT",73,32,18503,06103
"AVP (Nanticoke, PA)","Huntington-Ashland, WV-KY-OH",10,4,18503,25701
"AVP (Nanticoke, PA)","Lancaster, PA",25,11,18503,17603
"AVP (Nanticoke, PA)","Manchester-Nashua, NH",21,9,18503,03101
"AVP (Nanticoke, PA)","New Haven-Milford, CT",47,21,18503,06510
"AVP (Nanticoke, PA)","New York City-Newark-Jersey City, NY-NJ-PA",240,106,18503,10001
"AVP (Nanticoke, PA)","Norwich-New London, CT",17,7,18503,06320
"AVP (Nanticoke, PA)","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",204,90,18503,19107
"AVP (Nanticoke, PA)","Pittsburgh, PA",97,43,18503,15222
"AVP (Nanticoke, PA)","Portland-South Portland, ME",85,37,18503,04101
"AVP (Nanticoke, PA)","Poughkeepsie-Newburgh-Middletown, NY",54,24,18503,12601
"AVP (Nanticoke, PA)","Providence-Warwick, RI-MA",80,35,18503,02903
"AVP (Nanticoke, PA)","Reading, PA",23,10,18503,19601
"AVP (Nanticoke, PA)","Salisbury, MD-DE",32,14,18503,21801
"AVP (Nanticoke, PA)","Scranton–Wilkes-Barre, PA",31,14,18503,18503
"AVP (Nanticoke, PA)","Springfield, MA",46,20,18503,01103
"AVP (Nanticoke, PA)","Syracuse, NY",116,51,18503,13202
"AVP (Nanticoke, PA)","Vineland-Bridgeton, NJ",7,3,18503,08360
"AVP (Nanticoke, PA)","Washington-Arlington-Alexandria, DC-VA-MD-WV",143,63,18503,20001
"AVP (Nanticoke, PA)","Worcester, MA-CT",66,29,18503,01608
"DFW (Dallas, TX)","Austin-Round Rock-Georgetown, TX",121,53,75201,78701
"DFW (Dallas, TX)","College Station-Bryan, TX",12,5,75201,77840
"DFW (Dallas, TX)","Dallas-Fort Worth-Arlington, TX",185,81,75201,75201
"DFW (Dallas, TX)","Houston-The Woodlands-Sugar Land, TX",260,114,75201,77002
"DFW (Dallas, TX)","Killeen-Temple, TX",20,9,75201,76541
"DFW (Dallas, TX)","Oklahoma City, OK",54,24,75201,73102
"DFW (Dallas, TX)","San Antonio-New Braunfels, TX",84,37,75201,78205
"DFW (Dallas, TX)","Shreveport-Bossier City, LA",10,4,75201,71101
"DFW (Dallas, TX)","Tyler, TX",5,2,75201,75701
"IND (Indianapolis, IN)","Akron, OH",31,13,46204,44308
"IND (Indianapolis, IN)","Ann Arbor, MI",29,13,46204,48104
"IND (Indianapolis, IN)","Canton-Massillon, OH",23,10,46204,44702
"IND (Indianapolis, IN)","Chicago-Naperville-Elgin, IL-IN-WI",164,72,46204,60601
"IND (Indianapolis, IN)","Cincinnati, OH-KY-IN",79,35,46204,45202
"IND (Indianapolis, IN)","Cleveland-Elyria, OH",130,57,46204,44114
"IND (Indianapolis, IN)","Columbus, OH",98,43,46204,43215
"IND (Indianapolis, IN)","Dayton-Kettering, OH",35,16,46204,45402
"IND (Indianapolis, IN)","Detroit–Warren–Dearborn, MI",209,92,46204,48226
"IND (Indianapolis, IN)","Elkhart-Goshen, IN",7,3,46204,46516
"IND (Indianapolis, IN)","Evansville, IN-KY",14,6,46204,47708
"IND (Indianapolis, IN)","Flint, MI",17,8,46204,48502
"IND (Indianapolis, IN)","Fort Wayne, IN",17,8,46204,46802
