Parcel Only,,,,,
Origin, Destination , Pallets/Day , Shipping Charge 53 , Cost per Pallet Breakdown 53 ,Cost per Parcel Full Utilization 53
 DFW ,DFW,18,$500 ,$16.67 ,$0.02 
 DFW ,HOU,16,$559 ,$18.63 ,$0.02 
 DFW ,AUS,5,$500 ,$16.67 ,$0.06 
 DFW ,OK,9,$733 ,$24.43 ,$0.05 
 DFW ,NM,5,"$1,430 ",$47.66 ,$0.18 
 DFW ,LA,11,"$1,490 ",$49.68 ,$0.08 
 DFW ,AR,7,$625 ,$20.83 ,$0.05 
SAV (GA),GA,13,$645 ,$21.49 ,$0.03 
SAV (GA),FL,27,$719 ,$23.97 ,$0.02 
SAV (GA),NC,13,$719 ,$23.98 ,$0.03 
SAV (GA),SC,6,$500 ,$16.67 ,$0.05 
SAV (GA),AL,6,$791 ,$26.37 ,$0.08 
SAV (GA),VA,11,"$1,135 ",$37.84 ,$0.07 
SAV (GA),TN,8,$845 ,$28.16 ,$0.06 
SAV (GA),KY,5,"$1,068 ",$35.60 ,$0.12 
AVP (PA),PA,32,$823 ,$27.45 ,$0.02 
AVP (PA),NJ,23,$731 ,$24.38 ,$0.02 
AVP (PA),NY,49,$783 ,$26.11 ,$0.01 
AVP (PA),MA,17,"$1,256 ",$41.85 ,$0.04 
AVP (PA),MD,15,$902 ,$30.05 ,$0.04 
AVP (PA),CT,9,$979 ,$32.62 ,$0.07 
AVP (PA),NH,4,"$1,160 ",$38.66 ,$0.20 
LNK (NE),NE,4,$500 ,$16.67 ,$0.08 
LNK (NE),MN,11,"$1,114 ",$37.12 ,$0.06 
LNK (NE),WI,12,$896 ,$29.88 ,$0.05 
LNK (NE),IA,6,$500 ,$16.67 ,$0.05 
LNK (NE),ND,2,"$1,103 ",$36.76 ,$0.43 
LNK (NE),SD,2,"$1,284 ",$42.80 ,$0.43 
IND (IN),IN,18,$500 ,$16.67 ,$0.02 
IND (IN),IL,33,$509 ,$16.97 ,$0.01 
IND (IN),KY,12,$594 ,$19.79 ,$0.03 
IND (IN),MI,26,"$1,361 ",$45.36 ,$0.03 
IND (IN),OH,31,$804 ,$26.81 ,$0.02 
SEA (WA),WA,24,$500 ,$16.67 ,$0.01 
SEA (WA),OR,12,$795 ,$26.51 ,$0.04 
SEA (WA),ID,6,"$1,684 ",$56.14 ,$0.18 
LAS (NV),NV,5,$500 ,$16.67 ,$0.06 
LAS (NV),CA,59,"$1,082 ",$36.06 ,$0.01 
LAS (NV),OR,6,"$2,143 ",$71.42 ,$0.20 
LAS (NV),ID,3,"$1,877 ",$62.58 ,$0.39 
LAS (NV),UT,5,"$1,765 ",$58.85 ,$0.21 
LAS (NV),AZ,11,$561 ,$18.70 ,$0.03 
